x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56
-1.8810385455932823e-8,3.9908212105666615e-7,6.010276073376436e-11,-5.876648760582851e-10,2.705065683734386e-10,1.4424034334244563e-9,1.3833570925937092e-7,1.3003566174281873e-7,9.790440439961973e-8,3.7185669429441253e-7,2.651378292684321e-7,-3.9234523587364896e-8,-7.238193991552472e-8,3.0977503673609636e-9,-1.3221533896480834e-6,-1.5126610808529556e-6,3.8110410136976405e-8,5.14052607374553e-6,5.576153963019639e-8,-8.830079928898565e-8,1.2678814441470627e-8,3.935022903134562e-8,-6.598158663796625e-7,-1.6271429615764212e-7,-5.7883512953924096e-6,-1.6335358536169412e-6,6.88148334594957e-8,-4.4417522553500966e-7,1.0693858361932165e-8,-2.8556756528175375e-7,-2.4059270362921765e-7,2.5151784809336457e-10,-2.2224537253847953e-10,2.0175798749146244e-7,2.92748046333123e-8,-2.0925297971697644e-7,-2.829033138336464e-7,-1.3600268340967941e-5,0.00012795087010902313,8.227906882959771e-8,-3.092129212480753e-8,-2.4738877099804085e-7,6.154777649670478e-9,2.680095371502054e-6,-9.628687739748114e-11,-7.14445620993166e-8,-5.120715111986907e-9,1.2414885928121597e-8,-0.0004884684425315155,-2.8049318942070767e-5,2.874576238281785e-6,3.8241382284422334e-12,6.8719075985586566e-9,1.0163472466180539e-6,0,0
1.047438795786828e-8,1.0946853505866823e-5,4.387145992062059e-9,2.9287526845786666e-9,-1.999588001097126e-8,-1.6107106496207055e-8,1.15439394912191e-6,-2.319972094844132e-6,-2.1500938513685883e-6,1.108885350799997e-5,-3.9234523587364896e-8,4.7454197896579986e-5,2.1391871944833185e-7,2.4934186711759873e-8,-1.2108882560539036e-5,1.1341569168865549e-5,-6.025931131280595e-7,4.4050322314671426e-5,1.0437608193648909e-8,-3.8218821554760076e-7,-4.6100813457423845e-7,-5.278307880254847e-7,-1.4279784977141433e-5,-3.178232476402399e-6,2.4895215225070136e-7,-1.7112165920655794e-5,6.394120636389667e-7,-1.3650089333092254e-6,4.88348637824901e-7,-3.795747856655734e-6,-4.847684527622913e-7,2.564359685315045e-10,-9.581545948633878e-10,-8.93556495400225e-7,8.354154903446105e-7,1.5295671167468875e-6,2.344591374816755e-6,0.00016671830201340135,0.0030148766130442726,1.4745682830948426e-6,2.0811676392621374e-7,-1.8813287511778644e-5,3.5910205893907725e-7,-1.9669090671830505e-5,2.486376722638822e-8,-2.1134360121790074e-6,-1.4836607934393743e-7,-6.505690632001887e-8,0.003152301446635995,0.0001986009694950551,-0.00014837480739938097,-8.937380335168212e-11,5.5449662310017485e-9,6.9971748554872985e-6,0,0
4.3982128771801076e-7,-6.50536606459861e-5,-6.669904258409968e-10,-5.456604465961567e-9,-1.6750875683152734e-9,-4.4912235910506175e-7,1.735351028876199e-6,7.120080992808801e-7,2.316387250718708e-6,-3.151714916958353e-5,-7.238193991552472e-8,2.1391871944833185e-7,0.0001838366946426253,5.718798588454215e-8,8.374800736850717e-6,0.00021501610136940853,1.4983925217246106e-6,0.00013003502182415603,-9.38894675416925e-7,-5.325135602807984e-6,4.5564228516167715e-7,1.177302021209119e-6,-1.0278433134820427e-5,1.6283412048809458e-7,0.0002343522495922167,-1.4670489500865314e-5,2.7234069184742452e-6,2.2412432484081475e-6,1.799837155076046e-6,-4.924870938572004e-7,-4.747658390278379e-6,2.307645776224302e-9,-6.321505180626512e-9,3.4318996810179945e-6,-6.134352456646828e-7,2.3708222233229226e-5,-3.905998552710555e-6,-0.001305035125431353,0.0017386317199040117,1.1363163259862843e-5,-9.618639934378205e-6,-1.555137037685105e-5,3.2573406409431216e-7,-6.787179736675884e-5,-9.839121137924154e-8,-1.1954338383282684e-5,-4.519041843596532e-7,-8.350068130872232e-7,0.024502453448435973,0.0013845971337010008,3.4272396787167216e-5,-3.5960591928533057e-10,-4.00335186091444e-7,3.3022593403439246e-6,0,0
-1.3509843099966042e-8,-9.431816213254554e-7,-1.3642228748651684e-10,-3.695026283477817e-11,-9.538944111725122e-11,-6.782489381487234e-10,1.6726699258810208e-7,6.887103844307997e-8,1.328076364483612e-7,2.911416541722612e-7,3.0977503673609636e-9,2.4934186711759873e-8,5.718798588454215e-8,5.611785585354211e-8,7.877841528678559e-7,4.159243360344393e-6,4.787785787568129e-9,3.208582618390012e-6,-1.1862790045793034e-9,-1.4209840235156878e-8,1.656740622221186e-8,7.868403798870355e-9,9.921918044671325e-8,-6.182401266208591e-8,-4.085398317389805e-6,-4.771587250366189e-7,1.3153830256520228e-7,2.1917682664702622e-7,-6.211416238614037e-9,7.916553311603332e-8,-1.9089020973084764e-7,-3.901666391994895e-11,-7.492560096024597e-13,2.0387416307672293e-8,-1.3341954417131585e-8,-8.671706734146197e-8,1.4041292706411785e-7,1.8985392854845824e-5,-4.6330317614521094e-5,9.262958197280296e-8,-4.998640485841787e-8,5.47562777761235e-7,-2.942143625087405e-9,-3.602002957188912e-7,4.48783920154136e-10,-2.0247586316891025e-7,-1.2228883781576864e-8,2.6642930380548113e-8,9.043119202672009e-5,5.194811240030557e-6,6.631457412219501e-6,1.2057246546486075e-12,-5.9699466751841914e-9,3.0854134825175593e-7,0,0
1.6493179310538738e-6,0.00015794461466413188,4.481232436923147e-8,3.8783662605770915e-8,1.2598145483163339e-8,2.333221364214327e-7,-4.369493728046907e-5,-3.4326798420404595e-6,1.344182194753074e-5,0.00016399621909827684,-1.3221533896480834e-6,-1.2108882560539036e-5,8.374800736850717e-6,7.877841528678559e-7,0.0045314299577594525,-0.000810642927954744,-8.338892359725722e-6,1.9020593660826994e-5,-1.440832755212694e-6,-2.033826164846094e-6,6.937016257090459e-6,5.164905356080099e-6,0.00014859215726937446,9.752342230383584e-5,-0.0018936123216133371,-0.00014431645265249791,-2.036027500779587e-5,5.124772182624651e-5,1.8728764138995632e-6,-1.1878564113294123e-5,-1.4573069394763194e-5,8.62911499571526e-9,-2.115399231304869e-9,4.5433997299842825e-6,3.0671926409036863e-6,-1.052422449778562e-5,2.9957338759187463e-6,-3.29414086222459e-5,-0.01580290524772263,2.45003896226517e-5,-1.7330996007578248e-5,-0.00040620709409391393,-1.908055003995887e-6,-0.00014444573553710268,-3.586447945649055e-7,7.003496195253752e-5,3.5275153473878665e-6,1.2815847062116864e-6,0.02506812761659415,0.0014423786674074895,-0.0005665474647701109,5.535263614441089e-10,9.174117778305146e-7,0.0001683111759432299,0,0
8.636300979314885e-6,0.0001896076459160301,-1.0549175961423685e-7,-7.543069739465886e-8,1.526768410164838e-7,-1.1933866417559968e-6,4.120235092267803e-5,6.764312474782072e-5,0.00018966472475563932,-1.4138581540758046e-5,-1.5126610808529556e-6,1.1341569168865549e-5,0.00021501610136940853,4.159243360344393e-6,-0.000810642927954744,0.367735753832409,-9.683656953401677e-5,0.0020002058339060936,4.122591090843583e-5,0.0001862404615336528,-8.086355190155645e-6,4.703669278146303e-5,-0.002583894035492493,-0.00042160371123609643,0.0034284727999011172,-0.0008854038765268953,3.889305171580129e-5,-0.0004827496666527744,-4.737774401588607e-5,0.0002504872909653418,0.00010151134472373285,1.6353129059521203e-8,8.681223777354493e-8,-7.81498281831639e-5,0.00010545130094957336,0.00016586711642886608,-0.0002947738660399289,-0.008003147071656126,-0.3143187357194825,0.00018692962621659113,-9.304591511868035e-6,-0.002567419393473227,-9.216899993933282e-7,-0.002569748580967237,-1.178623854321963e-6,0.000839662023990925,4.741233321996903e-5,2.5114715346571407e-5,-0.13103227321143734,-0.007536225712557073,0.06756649521215666,3.1972676005452074e-8,9.553277837849776e-6,-0.00025969294273503723,0,0
1.0496344567377652e-7,-4.286680163843695e-5,-1.0975255790080218e-9,-2.4954637523504936e-9,2.4880490954857756e-9,-4.562777301895651e-8,1.0674352349257834e-7,1.2082032493734686e-5,-1.0628355428431984e-6,3.1117765021288995e-6,3.8110410136976405e-8,-6.025931131280595e-7,1.4983925217246106e-6,4.787785787568129e-9,-8.338892359725722e-6,-9.683656953401677e-5,2.7947249187027846e-5,0.0017261889921900517,-1.347132482038861e-7,1.3948857596508725e-6,-8.88337672421477e-7,7.800658971497249e-8,-3.5101515884021904e-5,-1.3808343159041602e-5,-8.47917666090599e-5,-7.296394020548952e-6,4.273764283024696e-5,-1.3762040370828714e-5,3.74959349272529e-6,-1.4639945230711845e-6,-1.490120361853883e-6,9.825096442739945e-10,2.3496998188723654e-9,4.710929431896912e-6,9.229474703239974e-6,-4.393147045066234e-6,1.0680359335217244e-5,0.0009746411148972836,-0.0020996936143698854,-3.4108533268416726e-6,3.863325550178962e-6,-7.778359568756559e-6,1.654014903576662e-7,-1.6300361834734094e-6,-3.2737640031903e-8,8.345359968738925e-6,2.7204392441654474e-7,1.761230542080459e-6,0.004216288108381622,8.210092577667769e-5,-0.0001295980753558098,1.3508724135582048e-10,6.221495224590956e-8,-6.287596974442008e-6,0,0
7.964217512604408e-6,-0.011203182365269267,-1.3339085773223067e-7,-1.7894799954185732e-7,1.6676019827365082e-7,-7.690673973039142e-6,7.86496922272832e-5,0.0027036296989595213,-0.0009548854309710252,-0.00029201018082176836,5.14052607374553e-6,4.4050322314671426e-5,0.00013003502182415603,3.208582618390012e-6,1.9020593660826994e-5,0.0020002058339060936,0.0017261889921900517,0.6559666419857678,3.736837347745362e-5,0.0001596835566991107,-0.00022301237631928072,-5.273747929181042e-6,-0.010211761626240295,-0.002077818756983132,-0.006578373883290319,-0.07178317064205683,0.008487549363400695,-0.0031525124364716922,0.0015937526689834237,-8.734196768412241e-5,-0.0005947080467166776,1.6751360839447469e-7,3.8213624678694585e-7,0.00045076323581971393,0.0015612810271150295,-0.0014151934241456677,0.0019762850455632016,0.21351311407911022,-0.00866772076879854,-0.0015992311147311632,0.0012934384395683126,-2.0194171326175276e-5,-3.428517568897754e-5,-0.0017078831479901365,-2.8850790855926515e-6,0.0018327743406823058,7.963138354980606e-5,0.00014630152655335243,-0.5924529393478005,-0.04788387475957081,0.023029498478300672,5.260813475947356e-8,-6.227464026488181e-6,0.00024749643674595363,0,0
1.241219507233792e-8,-4.113627277789687e-6,2.8230631785643214e-9,-7.795838036419731e-10,-4.76621654172529e-10,9.301004239118304e-9,-3.1501796615789033e-7,3.7912640955709535e-7,-8.921840851391553e-7,3.6443546711429626e-7,5.576153963019639e-8,1.0437608193648909e-8,-9.38894675416925e-7,-1.1862790045793034e-9,-1.440832755212694e-6,4.122591090843583e-5,-1.347132482038861e-7,3.736837347745362e-5,9.557798384582819e-6,1.0239022577474705e-6,-1.7960058693482217e-7,-3.2514598407547713e-8,2.0814152664005286e-6,1.167321171311003e-6,1.8279263658031455e-5,-6.5464770454762235e-6,6.126508921094536e-7,1.6468952201455623e-6,4.5441057000261255e-8,-1.9649639814245797e-7,-6.778442260913395e-7,2.694237728689439e-10,7.606933053884869e-11,-4.237217537910008e-7,1.421861763037522e-8,-2.962412519452423e-6,2.1972729761041142e-6,8.535608048050734e-5,0.0003630584352213885,-7.645809870393296e-7,3.414140379332031e-7,8.338731070397046e-6,2.7540960429634902e-8,9.423929832062962e-6,7.304729356532105e-9,-2.7399114961308686e-7,-3.29678393099104e-8,-2.0027787118097737e-7,0.002555724928402471,0.00014199863462454655,4.2906501101249564e-5,6.048857793888637e-11,-5.740087813604768e-9,1.13131476434307e-5,0,0
-1.1507225077057425e-7,-6.208312558945929e-6,-1.1491747642552834e-9,-5.70197034174679e-9,1.2097560339137046e-9,-1.6735957337108748e-8,1.7057027708110014e-6,3.932960542673257e-6,7.38603291257995e-7,-2.513961495512577e-6,-8.830079928898565e-8,-3.8218821554760076e-7,-5.325135602807984e-6,-1.4209840235156878e-8,-2.033826164846094e-6,0.0001862404615336528,1.3948857596508725e-6,0.0001596835566991107,1.0239022577474705e-6,0.00018232831813647476,-6.462342273712783e-7,4.3611506815556546e-7,3.008726431277493e-7,2.717929357830102e-6,0.00010323375036428977,-7.966714521829893e-6,2.175043296426622e-6,-5.862356926644348e-6,4.216962384294886e-7,1.5763440437735067e-6,0.00016979806354986733,-3.699704309213588e-10,-4.703993465074217e-9,-6.164876230925909e-7,-5.391001372974409e-7,7.888172969149137e-7,-2.770628428396501e-7,-0.0009388133778760833,-0.0021449868329291256,6.244754164877682e-6,-1.1320339387554513e-6,-3.2318611994981417e-5,-8.437239530390901e-7,-6.835729984710423e-5,2.0252050289933413e-8,3.856062549470608e-6,2.0948006184484004e-7,-4.378040738054119e-8,-0.007409619340705317,-0.0004519836057439615,-0.00028625777714068074,-2.2663638873602114e-10,5.651439532817364e-8,1.722063099816757e-5,0,0
