Year,MAP Temperature
2118,2.42514504
2119,2.51049109
2120,2.49138435
2121,2.464038387
2122,2.483463059
2123,2.517440391
2124,2.61592093
2125,2.56038244
2126,2.579057905
2127,2.292371814
2128,2.355840956
2129,2.377597633
2130,2.370777271
2131,2.533179368
2132,2.589164819
2133,2.506269403
2134,2.595485616
2135,2.581890382
2136,2.498260425
2137,2.472468541
2138,2.388903437
2139,2.366037476
2140,2.509120657
2141,2.385688396
2142,2.444792396
2143,2.488271983
2144,2.406687578
2145,2.403265779
2146,2.384148673
2147,2.364286162
2148,2.447207611
2149,2.431457159
2150,2.552698852
2151,2.626046727
2152,2.425034308
2153,2.379361037
2154,2.46969455
2155,2.489458655
2156,2.40677402
2157,2.33153576
2158,2.366670737
2159,2.363146241
2160,2.332508886
2161,2.503919041
2162,2.607496117
2163,2.5022613
2164,2.412880087
2165,2.386272498
2166,2.39184826
2167,2.463479511
2168,2.497897792
2169,2.365477119
2170,2.535250557
2171,2.446782729
2172,2.271440111
2173,2.219531298
2174,2.310395916
2175,2.252864112
2176,2.3075388
2177,2.226837597
2178,2.100786977
2179,2.193243218
2180,2.244725751
2181,2.247870576
2182,2.270966232
2183,2.455029694
2184,2.531511258
2185,2.497197287
2186,2.374934186
2187,2.455602245
2188,2.47100615
2189,2.451313355
2190,2.484201225
2191,2.348393581
2192,2.437190956
2193,2.276492681
2194,2.46725176
2195,2.316481556
2196,2.29968848
2197,2.443008045
2198,2.376442004
2199,2.494022189
2200,2.400670287
2201,2.460365748
2202,2.298151459
2203,2.476205909
2204,2.416515348
2205,2.398174626
2206,2.346426828
2207,2.443691693
2208,2.664431547
2209,2.454126551
2210,2.410626755
2211,2.404410615
2212,2.339385268
2213,2.365402391
2214,2.396370218
2215,2.459679732
2216,2.544315406
2217,2.503861928
2218,2.465206417
2219,2.332451914
2220,2.492203603
2221,2.400060071
2222,2.413525249
2223,2.358726844
2224,2.527761556
2225,2.31392133
2226,2.207159801
2227,2.423160062
2228,2.429669377
2229,2.415447975
2230,2.462251224
2231,2.471945278
2232,2.448121884
2233,2.33203694
2234,2.272649329
2235,2.300643079
2236,2.25370753
2237,2.364849611
2238,2.32916171
2239,2.40137947
2240,2.341598398
2241,2.379563229
2242,2.397541123
2243,2.372745242
2244,2.47335461
2245,2.441036151
2246,2.467423645
2247,2.546898507
2248,2.473151262
2249,2.355920319
2250,2.303000232
2251,2.278301472
2252,2.214207243
2253,2.236792718
2254,2.179272217
2255,2.198138129
2256,2.392927287
2257,2.270395357
2258,2.410525201
2259,2.214003544
2260,2.176073181
2261,2.177698352
2262,2.295260021
2263,2.297293866
2264,2.374161939
2265,2.394528121
2266,2.1845681
2267,2.284668804
2268,2.201489863
2269,2.229824305
2270,2.37425087
2271,2.18735335
2272,2.157554399
2273,2.058756452
2274,2.044255034
2275,2.226071499
2276,2.096105755
2277,2.17506569
2278,2.165723641
2279,2.079545368
2280,2.233227046
2281,2.157355332
2282,2.23838403
2283,2.279378673
2284,2.179182842
2285,2.295320561
2286,2.211309129
2287,2.127448179
2288,2.207036459
2289,2.13938496
2290,2.132593925
2291,2.186362821
2292,1.984590416
2293,2.114853163
2294,2.13572012
2295,2.065918591
2296,2.234718882
2297,2.216660546
2298,2.206255915
2299,2.153090415
2300,2.087162175
