Year,MAP Temperature
2086,1.903156727
2087,1.925433064
2088,1.825165032
2089,1.945075694
2090,1.953227397
2091,1.834212982
2092,1.885184785
2093,1.7158147
2094,1.649953699
2095,1.623655643
2096,1.80889122
2097,1.905710819
2098,1.870956504
2099,1.836251187
2100,1.749430584
2101,1.601582464
2102,1.711207115
2103,1.78508628
2104,1.728744836
2105,1.789809156
2106,1.571783493
2107,1.368284764
2108,1.645229056
2109,1.364145009
2110,1.386994653
2111,1.608285466
2112,1.393650915
2113,1.478963786
2114,1.510224265
2115,1.460293988
2116,1.431407686
2117,1.418704821
2118,1.480429452
2119,1.455664587
2120,1.464024696
2121,1.298443137
2122,1.427270795
2123,1.245379488
2124,1.156865112
2125,1.249030468
2126,1.350871925
2127,1.30303712
2128,1.470779645
2129,1.413982383
2130,1.441384677
2131,1.542900359
2132,1.450395009
2133,1.384528122
2134,1.37605922
2135,1.138648053
2136,1.255642815
2137,1.172777944
2138,1.14119316
2139,1.226081696
2140,1.268559196
2141,1.129443831
2142,1.104764013
2143,1.167776844
2144,1.14257414
2145,1.216811375
2146,1.194094729
2147,1.049995643
2148,1.042995017
2149,1.009282825
2150,0.978148602
2151,0.954480159
2152,1.185368336
2153,1.170023343
2154,1.037444014
2155,0.989142559
2156,1.053052966
2157,0.86178975
2158,0.938693197
2159,0.739366696
2160,0.840161246
2161,0.834228581
2162,1.056507635
2163,1.059249844
2164,0.912406223
2165,1.070781746
2166,1.245415874
2167,0.993687676
2168,1.06729517
2169,0.956158383
2170,1.011025698
2171,1.084516099
2172,1.06231261
2173,1.090562422
2174,1.038298714
2175,1.020599602
2176,0.944273905
2177,0.941983467
2178,1.142514323
2179,1.168154213
2180,1.239203479
2181,1.147953383
2182,1.101650754
2183,1.108329844
2184,1.164849751
2185,1.094520797
2186,1.081897378
2187,1.004029435
2188,0.942032009
2189,1.188241157
2190,1.150157628
2191,1.07023944
2192,1.109823456
2193,0.961127065
2194,1.025888451
2195,1.076765298
2196,1.21751519
2197,1.12925448
2198,1.125111691
2199,1.027504831
2200,1.118506613
2201,1.089789675
2202,1.021271542
2203,0.984357705
2204,1.042699354
2205,0.958546527
2206,0.924775191
2207,0.910649811
2208,0.973600444
2209,1.081105082
2210,1.076219424
2211,1.041349172
2212,1.106048296
2213,0.842283819
2214,0.946980181
2215,0.796939411
2216,0.922764949
2217,0.896811787
2218,0.98400021
2219,0.899384921
2220,1.108861225
2221,1.10043186
2222,1.087250546
2223,1.02493817
2224,1.056001749
2225,0.938592201
2226,0.975885718
2227,0.946394568
2228,1.039607656
2229,0.969029946
2230,1.151667199
2231,1.033236713
2232,1.043622187
2233,0.910835674
2234,1.034840053
2235,1.014631607
2236,0.924993711
2237,0.908703371
2238,0.944453906
2239,1.006832701
2240,1.031238828
2241,1.036356742
2242,0.926528312
2243,0.961432694
2244,0.954800687
2245,1.041637738
2246,1.083618828
2247,0.958059379
2248,0.973687133
2249,1.035440502
2250,1.092022574
2251,1.008989996
2252,1.02020234
2253,0.961929696
2254,0.989639169
2255,0.885366834
2256,1.033722249
2257,0.922917057
2258,0.872492617
2259,0.891622694
2260,0.974154269
2261,0.990787972
2262,0.951659568
2263,0.994319997
2264,1.022902134
2265,1.168928774
2266,1.126774101
2267,0.986357503
2268,0.932340544
2269,1.107255679
2270,1.017594941
2271,0.954822959
2272,0.943218275
2273,1.038983299
2274,1.097055974
2275,1.024147471
2276,1.022726331
2277,1.087333023
2278,1.155968492
2279,0.985039421
2280,0.923911543
2281,1.099980686
2282,1.085586499
2283,0.942608059
2284,0.955954408
2285,1.065829685
2286,1.059415323
2287,1.043319017
2288,0.808364818
2289,0.913140542
2290,1.088584883
2291,0.964678842
2292,0.968411607
2293,0.977473285
2294,1.084369466
2295,1.136564011
2296,1.081393983
2297,1.031941936
2298,0.845214694
2299,1.03754039
2300,0.944655963
