year,ais,ais_lo,ais_hi,gsic,gsic_lo,gsic_hi,gis,gis_lo,gis_hi,steric,steric_lo,steric_hi,lws,lws_lo,lws_hi,dang,dang_sig,dang_lo,dang_hi
1942,-0.40614322749051196,-0.6859091303565288,-0.16090908700769596,-3.4279491034421055,-4.136818187887018,-2.3636362856084654,-1.8451209848577332,-2.160909050161188,-1.5413637161254878,-2.967337656021119,-3.6121485320004547,-2.277423123879866,1.8205607452175834,1.1254545190117575,2.4968181041153996,-8.558236350339786,1.227457769956121,,
1943,-0.40063289729031654,-0.6759090922095559,-0.15590909177606754,-3.319212683764371,-4.011818187887018,-2.2586363619024103,-1.775259572809393,-2.085909050161188,-1.476363563537598,-2.8022913455963137,-3.4544539061459627,-2.118810109658675,1.7434332885525443,1.0504545190117576,2.4218181041154,-7.905895246343566,1.229073970203479,,
1944,-0.3952644738284025,-0.6609091303565289,-0.15590909177606754,-3.203119620409878,-3.871818035299127,-2.1536364381963553,-1.7251830881292172,-2.025909012014216,-1.4313636779785157,-2.6818834781646728,-3.3105162230404934,-2.020424680276351,1.8817536391995173,1.195454547621987,2.566818180409345,-8.759281718198487,1.1888105737256778,,
1945,-0.3898103627291593,-0.6509090922095557,-0.15590909177606754,-3.10310283574191,-3.7568182641809638,-2.078636438196355,-1.720994169061834,-2.020909088308161,-1.4313636779785157,-2.6717501163482664,-3.2893065062436184,-2.0411514563993975,1.7591020622036675,1.070454547621987,2.426818218556318,-8.789272925871458,1.1931868014323603,,
1946,-0.3843481930819425,-0.6409090540625828,-0.15590909177606754,-3.0097617712887854,-3.6468180352991273,-1.9836363619024104,-1.70151384527033,-1.990909164602106,-1.4113636016845699,-2.6829302310943604,-3.3654352751645176,-1.9928621573881673,1.7744174995205624,1.0904545285485008,2.426818218556318,-7.319124425810338,1.1691283883420824,,
1947,-0.3789894970980558,-0.6309091112830418,-0.15590909177606754,-2.905828818407925,-3.531818264180964,-1.8886362856084653,-1.649337751215155,-1.9459090883081611,-1.3613636016845698,-2.7342485904693605,-3.3953871336850243,-2.0600128455595543,1.7023434676907283,1.020454547621987,2.3718181041153996,-8.126264350354845,1.1313625805147205,,
1948,-0.37351922121914943,-0.6159090540625827,-0.15590909177606754,-2.814448508349333,-3.4318182641809636,-1.8036364381963552,-1.5536521738225768,-1.835909050161188,-1.2763635635375978,-2.8385199069976803,-3.507165774432095,-2.154987744851546,1.6731734313748103,1.0004545190117575,2.3118182567032894,-7.332821028831916,1.143843711457236,,
1949,-0.36812314120205974,-0.6059091112830417,-0.15590909177606754,-2.7524962988766752,-3.3468180352991275,-1.7436364000493834,-1.4421209161931818,-1.720909088308161,-1.1713636398315428,-2.8981478214263916,-3.5108252135190092,-2.2393356605009602,1.6944575347683644,1.0254545190117574,2.331818142262372,-6.104148728330061,1.1106127501170722,,
1950,-0.36264223185452554,-0.5959090731360699,-0.15590909177606754,-2.6413558569821447,-3.236818187887019,-1.6436364000493833,-1.3604312723333192,-1.635909050161188,-1.08636360168457,-2.815257120132446,-3.4794279662045566,-2.142785863442855,1.5629315414211964,0.8904545285485007,2.191818180409345,-6.490746621142681,1.1134736830864598,,
1951,-0.3572604569521817,-0.5809091112830418,-0.15590909177606754,-2.5635623541745276,-3.156818264180964,-1.5636362856084656,-1.291308576410467,-1.5609090501611877,-1.0313636779785158,-2.7181330204010004,-3.3798513976010405,-2.0267261786894366,1.7742937125942924,1.1054545380852439,2.4068181422623716,-5.433687535374539,1.138377815270144,,
1952,-0.3518108281222257,-0.5709090731360694,-0.15590909177606754,-2.4708892432126133,-3.05181834047491,-1.4536364381963554,-1.244715864008123,-1.5059091264551339,-0.9863636016845698,-2.6388128757476808,-3.296341952410611,-1.9715814872221513,1.8001307525418024,1.1654545285485007,2.4318181422623715,-5.429882731854707,1.1063016988872734,,
1953,-0.34638618555935946,-0.5609091303565285,-0.15590909177606754,-2.3708160010251134,-2.931818264180964,-1.3636362856084654,-1.1987132852727718,-1.460909050161188,-0.9463636398315429,-2.6377714633941642,-3.3144926634701823,-1.9085283561186361,1.7001955070278862,1.0754545190117577,2.331818142262372,-4.849188605467255,1.1009998763223257,,
1954,-0.34098810282620523,-0.5459090731360694,-0.15590909177606754,-2.2891849127682775,-2.8468180352991275,-1.2836363619024103,-1.16956976110285,-1.4209090883081608,-0.916363620758057,-2.6217352390289306,-3.304916247454557,-1.940267209573226,1.7123559036038134,1.0604545571587303,2.3418181804093448,-5.865882631110119,1.034567088693421,,
1955,-0.33553046313199136,-0.5359091303565284,-0.15590909177606754,-2.2426900473507967,-2.796818035299127,-1.2586363619024103,-1.146664029901678,-1.390909164602106,-0.9013636589050289,-2.6249311923980714,-3.2358595457943995,-1.9864240928129722,1.5093209304592825,0.8804545380852439,2.1068181422623717,-5.534710569325889,1.060380531768169,,
1956,-0.33016361323269944,-0.5259090922095557,-0.15090909654443913,-2.152102049914274,-2.696818035299127,-1.1536364381963553,-1.1088739221746269,-1.350909012014216,-0.871363639831543,-2.6001024723052977,-3.229994448748502,-1.9333393378691242,1.2446906127712942,0.6204545357010581,1.8268182185563178,-6.876097271304517,0.9897169357823271,,
1957,-0.3247422131625089,-0.5159090540625831,-0.15590909177606754,-2.053627547350797,-2.57681834047491,-1.0936364000493835,-1.036597234552557,-1.2709090883081609,-0.8063636779785159,-2.548732614517211,-2.7766943541440092,-2.250119809670882,1.2703041114590385,0.6554545380852439,1.8568181422623717,-5.26638116035934,1.0457082154327226,,
1958,-0.3192844781008634,-0.5059091112830421,-0.15090909654443913,-1.9792344656857574,-2.47681834047491,-1.0486363237554372,-0.9685359781438658,-1.205909126455134,-0.7363636016845698,-2.0671160221099854,-2.2289904204281887,-2.022560147805647,1.4463461913845754,0.8504545428536154,2.0318181422623716,-5.444852192363919,0.876992145142181,,
1959,-0.31389617052945223,-0.49590907313606947,-0.15090909654443913,-1.9245202628048985,-2.4118181878870186,-1.0286363428289245,-0.94980486089533,-1.1759090120142162,-0.7263636589050289,-2.270864725112914,-2.5336409178647123,-2.0682331366972493,1.3861695327542043,0.8054545380852439,1.9468181041153998,-5.145200276751647,0.8622344803769255,,
1960,-0.3084096821871671,-0.48090911128304215,-0.15090909654443913,-1.8498691168698396,-2.3318182641809635,-0.9736363237554373,-0.881216985529119,-1.105909126455134,-0.6613636016845699,-1.997335672378541,-2.2034052458676427,-1.8698820395903153,1.324306014992974,0.7654545285485007,1.8718181041153996,-4.5589059522749595,0.8381909459665833,,
