x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.000146537,-5.76E-05,-8.40E-06,-0.000131831,0.001918823,0.051090212,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-5.76E-05,0.000289068,7.47E-05,-8.16E-05,0.008978293,0.06285265,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-8.40E-06,7.47E-05,0.002446558,1.11E-05,0.025889851,-0.230425408,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-0.000131831,-8.16E-05,1.11E-05,0.000835724,0.028402832,0.088055036,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.001918823,0.008978293,0.025889851,0.028402832,12.15259824,3.288002192,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.051090212,0.06285265,-0.230425408,0.088055036,3.288002192,526.4473553,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.34E-07,1.08E-05,3.41E-10,5.31E-09,-1.68E-08,8.99E-08,-3.62E-06,-9.35E-06,-2.69E-06,4.40E-06,-8.69E-08,2.92E-06,1.11E-05,4.39E-08,7.48E-07,-0.000113903,-3.28E-06,-0.000723075,8.90E-08,4.73E-06,-2.41E-06,1.30E-06,5.62E-05,4.73E-06,-4.71E-05,4.62E-05,-2.39E-05,-3.25E-05,5.00E-06,3.58E-06,-9.96E-06,-3.99E-09,3.67E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.000285224,-0.000132171,7.34E-06,-1.98E-07,-3.22E-05,-1.08E-07,7.26E-05,4.29E-06,-8.21E-07,-0.008633338,-0.000352259,0.000128147,-7.59E-10,-2.57E-08,-3.34E-05
-2.57E-07,3.62E-05,-4.06E-11,-5.45E-09,6.11E-09,-1.09E-08,5.77E-06,7.08E-06,4.24E-06,-7.72E-06,2.13E-07,1.35E-06,-4.97E-06,-1.38E-07,-3.20E-05,9.54E-05,2.38E-06,0.000706969,-4.20E-07,-3.40E-06,1.37E-06,-2.08E-07,-8.70E-06,-1.47E-06,-0.000229763,-3.75E-05,1.33E-05,-3.83E-06,6.89E-07,-4.80E-07,2.44E-06,4.88E-09,2.16E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-0.000132171,0.000312876,-1.92E-06,5.11E-06,-8.44E-05,2.30E-07,-2.04E-05,-2.41E-06,-6.42E-06,-0.002228962,-0.000297211,0.000614193,-5.09E-10,1.63E-07,4.86E-05
-5.69E-07,0.000259191,6.03E-08,1.00E-08,6.54E-08,1.92E-07,2.60E-05,3.22E-05,-7.35E-05,9.82E-05,-1.94E-06,-2.58E-05,-2.33E-05,2.84E-06,-4.29E-05,-0.001506222,1.28E-05,0.00091563,-9.18E-06,6.68E-06,-9.21E-06,9.91E-06,-0.000167433,-6.86E-05,0.001889415,2.33E-05,3.02E-05,-8.78E-05,4.40E-06,-1.80E-05,-1.46E-05,4.08E-08,-3.45E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.34E-06,-1.92E-06,0.024964189,1.20E-05,-0.000236297,1.69E-07,2.04E-05,1.81E-06,8.92E-06,0.007010615,0.000203335,0.005697027,3.24E-09,-9.72E-07,0.000578367
3.59E-08,-1.14E-05,1.88E-09,2.27E-10,-5.01E-10,7.23E-09,-1.55E-07,-1.05E-06,5.05E-07,-5.56E-06,-3.99E-08,3.59E-07,3.68E-07,1.25E-08,1.43E-06,-5.55E-05,-1.18E-07,5.37E-05,-1.93E-07,6.16E-08,-3.39E-08,-8.24E-08,-7.25E-06,-8.27E-07,6.37E-05,-4.11E-06,4.64E-08,-9.68E-07,6.88E-07,1.15E-06,-1.37E-06,1.89E-11,1.16E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.98E-07,5.11E-06,1.20E-05,1.32E-05,-3.41E-05,-3.99E-08,7.03E-06,2.36E-07,1.81E-08,0.003385391,0.000195815,-0.000149828,-3.55E-10,4.66E-08,3.76E-06
