"Description: This spreadsheet contains the IMBIE-2019 dataset for Greenland, which includes data on the annual rate of change and cumulative change in Greenland’s ice sheet mass, its surface mass balance and ice discharge anomalies, and their estimated uncertainty. The data are expressed in units of equivalent mean global sea level rise (millimetres per year – columns B, C, F, G, J and K, and millimetres – columns D, E, H, I, L and M).	",,,,,,,,,,,,
Source: http://imbie.org/data-downloads/,,,,,,,,,,,,
"Publication: The IMBIE Team, Mass balance of the Greenland Ice Sheet from 1992 to 2018. Nature, (2019)",,,,,,,,,,,,
"Downloaded: May 23, 2020",,,,,,,,,,,,
,,,,,,,,,,,,
Year,Rate of ice sheet mass change (mm sea level/yr),Rate of ice sheet mass change uncertainty (mm sea level/yr),Cumulative ice sheet mass change (mm sea level),Cumulative ice sheet mass change uncertainty (mm sea level),Rate of mass balance anomaly uncertainty (mm sea level/yr),Cumulative surface mass balance anomaly (mm sea level/yr),Cumulative surface mass balance anomaly (mm sea level),Cumulative surface mass balance anomaly uncertainty (mm sea level),Rate of ice dynamics anomaly (mm sea level/yr),Rate of ice dyanamics anomaly uncertainty (mm sea level/yr),Cumulative ice dynamics anomaly (mm sea level),Cumulative ice dynamics anomaly uncertainty (mm sea level)
1999.83,0.0150966183574879000000,0.2137377712912320000000,0.7587859713421920000000,0.5344050255685110000000,-0.0454732131391667000000,0.2270393083972220000000,-0.1703206078230410000000,0.9648016339858720000000,0.0605698314966546000000,0.3118183484563280000000,1.0079157368194000000000,0.8150889593060080000000
1999.92,0.0150966183574879000000,0.2137377712912320000000,0.7600440228719820000000,0.5379551260027110000000,-0.0454732131391667000000,0.2270393083972220000000,-0.1741100422513050000000,0.9670252135138980000000,0.0605698314966546000000,0.3118183484563280000000,1.0129632227774600000000,0.8200442478623050000000
2000.00,0.0490400326797386000000,0.2138398212115850000000,0.7641306922619610000000,0.5414853091456650000000,-0.0032466909638889300000,0.2221371955027780000000,-0.1743805998316290000000,0.9691490294963680000000,0.0522867236436275000000,0.3083381305671450000000,1.0173204497477600000000,0.8248607571476480000000
2000.08,0.0490400326797386000000,0.2138398212115850000000,0.7682173616519390000000,0.5449926260497100000000,-0.0032466909638889300000,0.2221371955027780000000,-0.1746511574119540000000,0.9712682014644080000000,0.0522867236436275000000,0.3083381305671450000000,1.0216776767180600000000,0.8296493047742080000000
2000.17,0.0490400326797386000000,0.2138398212115850000000,0.7723040310419170000000,0.5484775153792020000000,-0.0032466909638889300000,0.2221371955027780000000,-0.1749217149922780000000,0.9733827597497600000000,0.0522867236436275000000,0.3083381305671450000000,1.0260349036883600000000,0.8344103721445850000000
2000.25,0.0490400326797386000000,0.2138398212115850000000,0.7763907004318950000000,0.5519404019498180000000,-0.0032466909638889300000,0.2221371955027780000000,-0.1751922725726020000000,0.9754927343554190000000,0.0522867236436275000000,0.3083381305671450000000,1.0303921306586600000000,0.8391444270044350000000
2000.33,0.0490400326797386000000,0.2138398212115850000000,0.7804773698218730000000,0.5553816973330240000000,-0.0032466909638889300000,0.2221371955027780000000,-0.1754628301529260000000,0.9775981549605980000000,0.0522867236436275000000,0.3083381305671450000000,1.0347493576289700000000,0.8438519239788090000000
2000.42,0.0490400326797386000000,0.2138398212115850000000,0.7845640392118520000000,0.5588018004270330000000,-0.0032466909638889300000,0.2221371955027780000000,-0.1757333877332500000000,0.9796990509255990000000,0.0522867236436275000000,0.3083381305671450000000,1.0391065845992700000000,0.8485333050817010000000
2000.50,0.1404252220765980000000,0.2188948814746530000000,0.7962661410515680000000,0.5623631978136050000000,-0.0032466909638889300000,0.2221371955027780000000,-0.1760039453135740000000,0.9817954512965890000000,0.1436719130404870000000,0.3118651996642810000000,1.0510792440193100000000,0.8532958231057260000000
2000.58,0.1404252220765980000000,0.2188948814746530000000,0.8079682428912850000000,0.5659021826692260000000,-0.0032466909638889300000,0.2221371955027780000000,-0.1762745028938980000000,0.9838873848102870000000,0.1436719130404870000000,0.3118651996642810000000,1.0630519034393500000000,0.8580319071144630000000
