x3,x4,x5,x6,x10,x11,x12,x13,x19,x20,x21,x22,x23,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51
1.34E-07,3.81E-08,-4.95E-08,7.10E-07,0.000902749,-8.86E-06,6.12E-06,-4.88E-05,-2.15E-05,-0.000296183,1.18E-05,-3.17E-06,-2.23E-05,-4.38E-07,-0.000529245,-3.59E-06,-2.02E-07,8.03E-08,2.04E-07,0.000189798,0.000284657,-2.08E-05,0.029775432,1.58E-06,-0.00160634,-2.40E-06,-2.89E-05,2.70E-06,-1.51E-05,0.370785707,0.011771891,0.001727417,-4.99E-09,1.19E-05,0.000171153
-2.66E-09,-2.63E-10,-5.63E-10,-2.01E-09,3.89E-06,1.17E-07,2.46E-07,3.14E-07,1.56E-08,6.62E-07,5.31E-07,3.69E-07,-8.22E-07,5.17E-07,9.98E-06,-4.20E-06,-1.83E-10,4.75E-10,5.76E-10,-1.74E-06,-9.25E-08,1.57E-06,1.58E-06,6.01E-06,-2.35E-05,3.50E-08,-3.28E-06,1.66E-07,-3.85E-06,-0.00758175,1.91E-05,-0.000135616,-6.50E-10,-4.93E-08,8.75E-06
-2.16E-07,-8.25E-08,9.74E-08,1.94E-06,0.000830877,-4.69E-05,0.000104002,-0.000152845,-4.79E-07,2.93E-05,5.04E-06,-4.84E-05,-3.08E-06,9.89E-05,0.001195766,-0.000791959,8.75E-09,-1.14E-07,1.56E-07,-0.000226961,-0.000324168,6.08E-05,-0.00160634,-2.35E-05,0.111123883,-4.44E-06,1.99E-05,-3.95E-05,0.000440907,-0.534091635,0.004871556,0.00520706,1.07E-07,7.08E-06,-0.000234482
3.31E-10,-1.32E-10,-1.51E-10,-3.19E-09,-1.94E-06,7.04E-09,-1.13E-08,4.74E-08,1.26E-07,-3.47E-07,-3.92E-08,-4.08E-08,1.74E-08,6.54E-08,-2.66E-07,3.47E-07,-2.25E-11,3.74E-11,1.83E-10,6.48E-08,2.01E-07,-3.06E-07,-2.40E-06,3.50E-08,-4.44E-06,3.88E-07,1.68E-07,2.23E-08,-4.43E-08,-0.001650048,-2.53E-05,-1.39E-05,-3.87E-11,3.98E-08,-1.03E-06
1.15E-08,1.64E-10,-2.94E-08,-1.18E-08,-1.80E-05,-9.33E-07,-3.14E-06,1.15E-05,1.43E-06,1.67E-05,4.32E-06,-1.10E-06,1.44E-09,1.20E-06,-2.83E-05,4.44E-05,-1.98E-09,1.36E-09,-3.64E-09,-5.63E-06,2.35E-06,-5.09E-06,-2.89E-05,-3.28E-06,1.99E-05,1.68E-07,8.58E-05,4.38E-07,2.42E-05,-0.017172497,0.001019328,-0.002242126,4.34E-09,-1.29E-07,1.69E-05
-1.31E-10,2.42E-10,-1.42E-09,3.15E-09,-3.04E-06,1.97E-08,-2.34E-07,7.43E-07,4.51E-08,5.25E-07,1.80E-09,-1.03E-08,6.64E-09,4.49E-07,1.59E-06,-3.71E-07,1.28E-10,9.65E-11,3.13E-10,4.20E-07,3.98E-07,-9.26E-08,2.70E-06,1.66E-07,-3.95E-05,2.23E-08,4.38E-07,3.77E-07,-2.34E-06,-0.000702426,-2.41E-06,-5.72E-06,-5.82E-10,3.12E-09,1.29E-06
2.51E-09,-1.44E-09,5.54E-09,-7.97E-09,2.22E-05,1.22E-07,1.64E-06,-3.10E-06,8.91E-07,4.07E-06,2.92E-06,-5.64E-07,-6.08E-07,-5.25E-06,-4.30E-05,3.20E-05,-2.51E-09,-1.27E-10,-5.00E-09,-1.86E-06,1.19E-07,-4.52E-07,-1.51E-05,-3.85E-06,0.000440907,-4.43E-08,2.42E-05,-2.34E-06,3.94E-05,-0.003341021,0.00061033,-0.000620563,3.87E-09,4.86E-08,4.37E-06
1.55E-05,3.09E-06,2.72E-05,0.000111862,0.099894466,0.016203517,-0.005485936,-0.034406666,0.003852281,0.088748435,0.023219772,0.012604096,-0.001931116,0.004835634,0.091107058,0.035165054,6.74E-07,-5.88E-06,-9.88E-06,-0.056681499,0.015705449,-0.001579533,0.370785707,-0.00758175,-0.534091635,-0.001650048,-0.017172497,-0.000702426,-0.003341021,3334.974311,97.3861433,-2.408979611,-1.39E-06,0.001684679,-0.090204584
-1.38E-06,2.90E-07,4.76E-07,1.94E-05,0.016554681,-2.68E-05,-0.000731468,-0.003934686,-0.000775809,0.000501812,-0.001084152,0.000573695,-0.001169737,0.000244435,-0.003695724,-0.000116982,-1.86E-06,-8.29E-07,-2.22E-06,-0.00133605,0.002515767,0.001905917,0.011771891,1.91E-05,0.004871556,-2.53E-05,0.001019328,-2.41E-06,0.00061033,97.3861433,12.83281556,0.168621092,1.10E-07,-9.60E-06,-0.000893182
-3.95E-07,-1.76E-08,-6.86E-07,-1.61E-05,-0.015356149,-0.000179156,0.000196004,-0.000284901,0.000815145,0.000356807,0.000720524,-0.000954989,-0.000132167,0.000407679,-0.000872113,-0.000341188,-5.63E-07,9.51E-09,-2.32E-06,-0.002838063,-0.00316253,0.001363112,0.001727417,-0.000135616,0.00520706,-1.39E-05,-0.002242126,-5.72E-06,-0.000620563,-2.408979611,0.168621092,15.37338193,8.07E-06,-5.57E-05,0.013720269
9.81E-13,-5.10E-13,1.36E-12,-1.37E-11,-5.80E-09,-3.58E-10,4.30E-10,-4.71E-10,4.02E-10,-1.93E-11,4.44E-10,-5.52E-10,7.55E-11,-1.04E-09,-5.88E-09,3.99E-09,-6.60E-13,2.03E-14,-2.05E-12,-3.20E-09,-2.48E-09,-1.84E-09,-4.99E-09,-6.50E-10,1.07E-07,-3.87E-11,4.34E-09,-5.82E-10,3.87E-09,-1.39E-06,1.10E-07,8.07E-06,5.81E-12,-4.92E-11,4.80E-09
-9.54E-10,-2.02E-10,7.73E-10,-1.71E-12,1.09E-07,9.53E-09,-1.77E-07,-2.89E-07,8.15E-09,1.41E-07,-9.51E-08,-8.77E-08,1.33E-07,1.76E-07,-3.36E-06,2.00E-06,5.30E-10,-1.72E-10,-8.66E-10,-1.00E-07,-4.62E-07,2.93E-07,1.19E-05,-4.93E-08,7.08E-06,3.98E-08,-1.29E-07,3.12E-09,4.86E-08,0.001684679,-9.60E-06,-5.57E-05,-4.92E-11,9.50E-07,5.88E-07
1.60E-08,-1.78E-08,-3.27E-08,3.51E-08,5.41E-05,-4.59E-06,2.15E-05,-7.38E-06,-4.88E-06,7.31E-06,-1.24E-05,3.26E-06,-4.97E-05,3.65E-06,0.000252462,-9.41E-05,6.45E-09,-5.98E-09,4.03E-08,-5.48E-05,-1.97E-05,4.06E-07,0.000171153,8.75E-06,-0.000234482,-1.03E-06,1.69E-05,1.29E-06,4.37E-06,-0.090204584,-0.000893182,0.013720269,4.80E-09,5.88E-07,0.012648336
